18102;R. Expres;Santander;Valladolid;09:19;13:20;241;23.85;LMXJV
Santander;*;09:19
Valdecilla;09:22;09:23
Maliaño;09:27;09:28
Renedo;09:41;09:42
Torrelavega;09:52;09:53
Los Corrales de Buelna;10:03;10:04
Bárcena;10:17;10:18
Reinosa;10:55;10:56
Mataporquera;11:11;11:12
Quintanilla de las Torres;11:16;11:17
Aguilar de Campoo;11:21;11:22
Mave;11:30;11:31
Alar del Rey-San Quirce;11:38;11:39
Herrera de Pisuerga;11:44;11:45
Espinosa de Villagonzalo;11:53;11:54
Osorno;11:58;11:59
Frómista;12:08;12:09
Piña;12:13;12:14
Amusco;12:18;12:19
El Carrión;12:23;12:24
Monzón de Campos;12:25;12:26
Palencia;12:34;12:35
Venta de Baños;12:45;12:46
Dueñas;12:51;12:52
Cubillas de Santa Marta;12:56;12:57
Corcos-Aguilarejo;13:01;13:02
Cabezón de Pisuerga;13:05;13:06
Valladolid-Universidad;13:14;13:15
Valladolid;13:20;*
